Rank,Name,website,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2024 (€),Revenue 2021 (€),Employees 2024,Employees 2021,Founding year,linkedin_company_profile
870,Bandel,bandel-online.de,Germany,Ecommerce,79.3,21.5,"151,796,261","84,651,716",106,106,2007,
444,Baroni Home,baronihome.it,Italy,Ecommerce,207,45.3,"11,951,426","3,892,754",1,1,2016,
7,bedrop,bedrop.de,Germany,Ecommerce,8600.2,343.1,17756665,204095,7,2,2021,
687,Bizay,bizay.co.uk,Portugal,Ecommerce,114.5,29,"53,200,000","24,800,000",215,155,2011,https://www.linkedin.com/company/bizay
524,Calicantus,calicant.us,Italy,Ecommerce,169.7,39.2,"27,422,000","10,167,602",31,25,2007,
754,Chefstore.nl,chefstore.nl,Netherlands,Ecommerce,102.4,26.5,"5,559,394","2,746,390",6,1,2017,
950,Clos & Monopole,closandmonopole.com,France,Ecommerce,67.5,18.8,"5,499,162","3,284,102",12,5,2017,
47,Coast Commerce,nextcover.com,Germany,Ecommerce,1801.1,166.9,6164913,324281,4,1,2021,
365,Comfort Click,comfortclick.co.uk,UK,Ecommerce,255.1,52.6,"102,021,100","28,348,938",158,8,2005,https://uk.linkedin.com/company/comfort.click
201,Cybertec24,flo.uri.sh,Germany,Ecommerce,469.6,78.6,7115006,1249121,4,3,2020,
81,Dalfilo,dalfilo.com,Italy,Ecommerce,1003.6,122.6,8912026,807510,20,7,2020,https://www.linkedin.com/company/dalfilo
172,Distrilink,distrilink.be,Belgium,Ecommerce,540.9,85.8,3830408,597711,12,3,2019,
202,Donkid,corporatedonkid.lovable.app,Italy,Ecommerce,468.7,78.5,2393973,420973,3,1,2018,
972,eatventure,eatventure.de,Germany,Ecommerce,63.7,17.9,"2,264,965","1,383,700",14,8,2016,https://www.linkedin.com/company/eatventure-de
219,Edubily,edubily.de,Germany,Ecommerce,419.3,73.2,15136000,2915000,26,6,2015,
700,eu-bay Commerce,eu-bay.de,Germany,Ecommerce,111.7,28.4,"18,655,462","8,810,499",64,32,2003,https://ca.linkedin.com/company/eu-bay-elektronik
801,HD casa,hdcasa.it,Italy,Ecommerce,92.3,24.3,"3,714,911","1,932,347",4,0,2018,
1,Healf,healf.com,UK,Ecommerce,37496.3,621.7,48257914,126663,40,1,2020,https://uk.linkedin.com/company/healf
582,IBO International Brands Online,international-brands-online.com,Germany,Ecommerce,150.9,35.9,"4,540,601","1,810,020",19,7,2015,
470,IPLN,ipln.fr,France,Ecommerce,194.8,43.4,"17,967,870","6,094,791",16,8,1957,https://www.linkedin.com/company/iplnfr
698,Jenolite,jenolite.com,UK,Ecommerce,112.1,28.5,"9,137,683","4,251,655",11,3,2013,
876,Jurassic Fruit,jurassicfruit.com,Germany,Ecommerce,77.9,21.2,"4,864,786","2,735,162",70,40,2015,https://www.linkedin.com/company/jurassic-fruit
36,Just Russel,justrussel.com,Belgium,Ecommerce,2132.3,181.6,26806272,1200827,70,5,2020,
251,Kinga Mathe,tracht-a-porter.com,Germany,Ecommerce,363.4,66.7,"6,213,446","1,340,800",22,4,2008,
